ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
MO3_1_Nastulus;My decision is taken, although I appreciate your concern,\n you will not talk me out of this Mariam…;;;;;;;;;;
MO3_2_Mariam;But leaving everything you built behind like this…\n And so suddenly?;;;;;;;;;;
MO3_3_Nastulus;I’ve made my time, and besides,\n I’m not worried with you here in my stead.;;;;;;;;;;
MO3_4_Mariam;I’ll never understand how you can be \n so resolute about everything you do.;;;;;;;;;;
MO3_5_Nastulus;Its easy, really, I see now what my life’s role was, \n and I intend to fulfill it. ;;;;;;;;;;
MO3_6_Nastulus;Even if I don’t have much time left, \n I’m not afraid of death,;;;;;;;;;;
MO3_7_Nastulus;it is the destiny of all living beings. \n And who am I, just a man,;;;;;;;;;;
MO3_8_Nastulus;to challenge a fate as the universe intended for me.;;;;;;;;;;
MO3_9_Mariam;No man ever steps in the same river twice?;;;;;;;;;;
MO3_10_Nastulus;Perhaps one day you will take a boy apprentice, \n the same way I had done for you?;;;;;;;;;;
MO3_11_Mariam;I think I would like that…;;;;;;;;;;
