ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
voM044_EN;Master's journal, what is it doing here?;Le journal de mon maître, que fait-il ici ?;;;;;;;;;
voM047_EN;But this happened two months ago, how…?;Mais, cela s'est produit il y a deux mois, comment...;;;;;;;;;
voM053_EN;It feels like I’ve known him all my life, but now that he’s gone… I hate thinking about it.;J'ai l'impression de l'avoir toujours connu, mais maintenant qu'il nous a quitté...\nJe ne peux même pas y penser.;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
