ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
voM091_EN;I’m here- Whatever you are, I’m here!;Je suis là- Quoique vous soyez, je suis là !;;;;;;;;;
voM092_EN;What are you?;Qu'êtes vous ?;;;;;;;;;
voM093_EN;Immortality? Wha-;L'immortalité ? Comment ?;;;;;;;;;
voM094_EN;What is all this? Where am I?;Qu'est-ce que c'est que tout cela ? Où suis-je ?;;;;;;;;;
voM095_EN;You built this place?;Vous avez construit cet endroit ?;;;;;;;;;
voM096_EN;How can I get out?;Comment puis-je m'en échapper ?;;;;;;;;;
voM097_EN;I-I-I don’t…;Je, je ne...;;;;;;;;;
voM098_EN;What is it you want to show me?;Que voulez vous me montrer ?;;;;;;;;;
voS099_EN;Finally. After so long I meet you, my promised student… ;Enfin. Après tant de temps je te rencontre, mon élève promise...;;;;;;;;;
voS100_EN;I come to offer you a place among the stars you have so diligently studied.;Je viens pour t'offrir une place parmis les étoiles que tu as si assidûment étudié.;;;;;;;;;
voS101_EN;I am neither god nor demon, just a scientist, although I do offer you immortality…;Je ne suis ni déesse, ni démon, juste une scientifique, bien que je t'offre l'immortalité...;;;;;;;;;
voS102_EN;Although my lessers had another name for it, you are in my prototype. I built this space.;Même si mes subordonnés lui avaient donné un autre nom, tu te trouves dans mon prototype. J'ai construit cet endroit.;;;;;;;;;
voS103_EN;I am its architect, yes.;Je suis son architecte, en effet.;;;;;;;;;
voS104_EN;You need to will it.;Il faut que tu le veuilles.;;;;;;;;;
voS105_EN;You will, in due time, but not before I have shown you;Tu comprendras, en temps voulu, mais pas avant d'avoir vu-;;;;;;;;;
voS106_EN;everything this prototype is capable of…;-tout ce dont ce prototype est capable de faire...;;;;;;;;;
voS107_EN;Eternity.;L'éternité.;;;;;;;;;
voS108_EN;But you still have to reach the heart of this prototype.;Mais avant cela, tu dois atteindre le coeur de ce prototype.;;;;;;;;;
