ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
voM038_EN;I’m definitely not dreaming, why does this place look like my home?;Je ne suis clairement pas en train de rêver, pourquoi cet endroit ressemble tant à ma maison ?;;;;;;;;;
voM039_EN;Maybe it's still listening...;Peut être qu'elle m'écoute encore...;;;;;;;;;
voM040_EN;What would Nastulus do..?;Qu'est-ce que Nastulus ferait ?;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
