ID;ENGLISH;FRENCH;LANGUAGE_3;LANGUAGE_4;LANGUAGE_5;LANGUAGE_6;LANGUAGE_7;LANGUAGE_8;LANGUAGE_9;LANGUAGE_10;
MO2_1_Mariam;Brother, let it go.;Mon frère, arrête cela !;;;;;;;;;
MO2_2_Ayoub;No Mariam, I want to understand this fully. So…;Non Mariam, je veux pouvoir bien comprendre. Donc...;;;;;;;;;
MO2_3_Ayoub;We agree that knowledge of all things \n is the ultimate goal for you men of science right?  ;Nous sommes d'accord que tout connaître\nest le but ultime d'un homme de sciences comme vous, n'est-ce pas ?;;;;;;;;;
MO2_4_Ayoub;We rarely have the opportunity to talk like this \n you and I Nastulus, so please, tell me. ;Nous avons rarement l'opportunité de parler comme cela\nvous et moi Nastulus, alors s'il vous plaît, dites moi.;;;;;;;;;
MO2_5_Nastulus;Yes, I- I thought this too when I was younger, but…;Oui, je- j'étais du même avis dans ma jeunesse, mais...;;;;;;;;;
MO2_6_Nastulus;To be honest, Ayoub, this could not be further \n from the truth.;Pour être honnête avec vous, Ayoub, cela ne pourrait s'éloigner\nplus de la vérité.;;;;;;;;;
MO2_7_Ayoub;How could it not be your goal?;Comment cela ne pourrait pas être votre but ?;;;;;;;;;
MO2_8_Nastulus;What is knowledge without meaning? ;A quoi sert de savoir sans comprendre ?;;;;;;;;;
MO2_9_Nastulus;Ayoub, under our imam you have dedicated your life to meaning,;Ayoub, sous notre imam, vous avez dédié votre vie à votre foi,;;;;;;;;;
MO2_10_Nastulus;I have dedicated mine to knowledge, \n but is this not wrong?;J'ai dédié la mienne au savoir,\nmais cela n'est-il pas mauvais ?;;;;;;;;;
MO2_11_Nastulus;Shouldn’t the scientist and the philosopher \n work hand in hand?;Les scientifiques et les philosophes\nne devraient-ils pas travailler main dans la main ?;;;;;;;;;
MO2_12_Ayoub;Rubbish...;N'importe quoi...;;;;;;;;;
MO2_13_Nastulus;Excuse me?;Pardon ?;;;;;;;;;
MO2_14_Ayoub;All of your questions have already been answered \n old man.;Toutes les questions que vous vous posez ont déjà des réponses\nvieil homme.;;;;;;;;;
MO2_15_Ayoub;How long has it been since you last opened the holy Quran?;Quand était-ce la dernière fois que vous avez ouvert le Saint Coran ?;;;;;;;;;
MO2_16_Mariam;Ayoub!;Ayoub !;;;;;;;;;
MO2_17_Ayoub;No no no. Let him answer.;Non, non, non. Laisse le répondre.;;;;;;;;;
voM072_EN;these two...;ces deux là...;;;;;;;;;
