Event	ID	Name			Wwise Object Path	Notes
	102969944	AMB_SP_Shard_Float_LP			\Default Work Unit\WU_AMB_Event\AMB_SP\AMB_SP_Shard_Float_LP	
	750298598	AMB_RFX_NAR_Pulse			\Default Work Unit\WU_AMB_Event\AMB_RFX\AMB_RFX_NAR_Pulse	
	1481211399	AMB_SP_Portal_Open			\Default Work Unit\WU_AMB_Event\AMB_SP\AMB_SP_Portal_Open	
	2186918097	AMB_PAD_MainMenu_LP			\Default Work Unit\WU_AMB_Event\AMB_PAD\AMB_PAD_MainMenu_LP	
	2515429708	AMB_PAD_Global_LP			\Default Work Unit\WU_AMB_Event\AMB_PAD\AMB_PAD_Global_LP	
	2906819207	AMB_Transition			\Default Work Unit\WU_AMB_Event\AMB_PAD\AMB_Transition	
	3061115295	AMB_SP_Portal_LP			\Default Work Unit\WU_AMB_Event\AMB_SP\AMB_SP_Portal_LP	
	3134303699	AMB_SP_RC_PulseShard			\Default Work Unit\WU_AMB_Event\AMB_SP\AMB_SP_RC_PulseShard	
	3403072559	AMB_SP_RC_TorchLight_LP			\Default Work Unit\WU_AMB_Event\AMB_SP\AMB_SP_RC_TorchLight_LP	
	4036686450	AMB_RFX_Manager			\Default Work Unit\WU_AMB_Event\AMB_RFX\AMB_RFX_Manager	

Game Parameter	ID	Name			Wwise Object Path	Notes
	344904358	RTPC_Meter_Glb			\Default Work Unit\RTPC_Meter_Glb	
	1888688417	RTPC_Focus			\Default Work Unit\RTPC_Focus	

Audio Bus	ID	Name			Wwise Object Path	Notes
	17439960	BUS_AMB			\Default Work Unit\Master Audio Bus\WU_BUS_Mix\BUS_AMB	
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	
	4180996447	BUS_Rev			\Default Work Unit\Master Audio Bus\WU_BUS_Rev\BUS_Rev	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	2517974655	AUX_REVShort			\Default Work Unit\Master Audio Bus\WU_BUS_Rev\BUS_Rev\AUX_REVShort	
	3217397620	AUX_REVLarge			\Default Work Unit\Master Audio Bus\WU_BUS_Rev\BUS_Rev\AUX_REVLarge	

Effect plug-ins	ID	Name	Type				Notes
	212906528	EF_Meter_Distance	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	43425391	AMB_RFX_Drone_04	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\45\{452F45E9-FF78-79F9-104B-93800C9BD88D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Drone\AMB_RFX_Drone_04		143334
	59541252	AMB_RFX_NAR_Pulse_06	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\33\{33B02586-5E1E-C61E-AAFC-CDCA99A2468D}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_NAR_Pulse\AMB_RFX_NAR_Pulse_06		23225
	66177651	AMB_RFX_Drone_21	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\14\{14005BF3-9477-2BF1-26D0-AC5FFFE93E28}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Drone\AMB_RFX_Drone_21		111440
	66377093	AMB_RFX_Drone_15	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\52\{528087E9-1FAB-3D86-4917-197D48BDF773}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Drone\AMB_RFX_Drone_15		131974
	84832289	AMB_SP_RFX_PulseShard_05	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\1F\{1FE7A9C7-BEFD-F906-57E0-8F47A68C6D9F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_SP\AMB_SP_RC_PulseShard\AMB_SP_RFX_PulseShard_05		80053
	93013804	AMB_PAD_Global_LP_03	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\47\{4782E563-C1CA-5A78-1ED6-00970B92F3A7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_PAD\AMB_PAD_Global_LP\AMB_PAD_Global_LP_03		279393
	96006196	AMB_RFX_Granular_04	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\FF\{FFB4EF82-3D95-7717-3A48-863DCB3180C6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Granular\AMB_RFX_Granular_04		218206
	98460309	AMB_SP_RFX_PulseShard_06	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\68\{68614466-9540-C987-EFF2-59DA07B613DA}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_SP\AMB_SP_RC_PulseShard\AMB_SP_RFX_PulseShard_06		84369
	114881787	AMB_RFX_Granular_01	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\DA\{DA502FDE-C42B-4B2B-5C18-D9E8C5B93F6C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Granular\AMB_RFX_Granular_01		206116
	115915163	AMB_PAD_MainMenu_LP_04	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\72\{726C5AD8-B324-3537-8A16-198411C68FF3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_PAD\AMB_PAD_MainMenu_LP\AMB_PAD_MainMenu_LP_04		48956
	117090321	AMB_RFX_WindGhust_05	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\E0\{E0BDEF25-0DB5-403D-86E1-783FF8039B09}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_WindGhust\AMB_RFX_WindGhust_05		127811
	118100001	AMB_PAD_MainMenu_LP_05	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\27\{27334AF5-97F4-6A2C-D9C8-603245166C85}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_PAD\AMB_PAD_MainMenu_LP\AMB_PAD_MainMenu_LP_05		49372
	120559694	AMB_RFX_Granular_02	C:\Users\Camomille\Documents\01.Github\AstroCube\AstroCube_Team_05_WwiseProject\.cache\D7\{D7DD1F5A-33AE-1A2C-0125-2045DAA6AFF7}.wem		\Actor-Mixer Hierarchy\Default Work Unit\WU_AMB\AM_AMB\AM_RFX\AMB_RFX_Granular\AMB_RFX_Granular_02		151848
